competitorname,chocolate,fruity,caramel,peanutyalmondy,crispedricewafer,hard,bar,sugarpercent,pricepercent,winpercent
3 Musketeers,1,0,0,0,0,0,1,0.60399997,0.51099998,67.602936
Air Heads,0,1,0,0,0,0,0,0.90600002,0.51099998,52.341465
Almond Joy,1,0,0,1,0,0,1,0.465,0.76700002,50.347546
Baby Ruth,1,0,1,1,0,0,1,0.60399997,0.76700002,56.914547
Candy Corn,0,0,0,0,0,0,0,0.90600002,0.32499999,38.010963
Dum Dums,0,1,0,0,0,1,0,0.73199999,0.034000002,39.460556
Haribo Gold Bears,0,1,0,0,0,0,0,0.465,0.465,57.11974
Haribo Happy Cola,0,0,0,0,0,0,0,0.465,0.465,34.158958
Haribo Sour Bears,0,1,0,0,0,0,0,0.465,0.465,51.41243
Hershey's Kisses,1,0,0,0,0,0,0,0.127,0.093000002,55.375454
Hershey's Krackel,1,0,0,0,1,0,1,0.43000001,0.91799998,62.284481
Hershey's Milk Chocolate,1,0,0,0,0,0,1,0.43000001,0.91799998,56.490501
Hershey's Special Dark,1,0,0,0,0,0,1,0.43000001,0.91799998,59.236122
Kit Kat,1,0,0,0,1,0,1,0.31299999,0.51099998,76.7686
Laffy Taffy,0,1,0,0,0,0,0,0.22,0.116,41.389557
Lifesavers big ring gummies,0,1,0,0,0,0,0,0.26699999,0.27900001,52.911392
M&M's,1,0,0,0,0,0,0,0.82499999,0.65100002,66.574585
Mike & Ike,0,1,0,0,0,0,0,0.87199998,0.32499999,46.411716
Milk Duds,1,0,1,0,0,0,0,0.30199999,0.51099998,55.064072
Milky Way,1,0,1,0,0,0,1,0.60399997,0.65100002,73.099556
Mr Good Bar,1,0,0,1,0,0,1,0.31299999,0.91799998,54.526451
Nerds,0,1,0,0,0,1,0,0.84799999,0.32499999,55.354046
Nestle Butterfinger,1,0,0,1,0,0,1,0.60399997,0.76700002,70.735641
Nestle Crunch,1,0,0,0,1,0,1,0.31299999,0.76700002,66.47068
Payday,0,0,0,1,0,0,1,0.465,0.76700002,46.296597
Peanut M&M's,1,0,0,1,0,0,0,0.59299999,0.65100002,69.483788
Peanut butter M&M's,1,0,0,1,0,0,0,0.82499999,0.65100002,71.46505
Reese's Miniatures,1,0,0,1,0,0,0,0.034000002,0.27900001,81.866257
Reese's Peanut Butter cup,1,0,0,1,0,0,0,0.72000003,0.65100002,84.18029
Reese's pieces,1,0,0,1,0,0,0,0.40599999,0.65100002,73.43499
Reese's stuffed with pieces,1,0,0,1,0,0,0,0.98799998,0.65100002,72.887901
Ring pop,0,1,0,0,0,1,0,0.73199999,0.96499997,35.290756
Skittles original,0,1,0,0,0,0,0,0.94099998,0.22,63.08514
Skittles wildberry,0,1,0,0,0,0,0,0.94099998,0.22,55.103695
Nestle Smarties,1,0,0,0,0,0,0,0.26699999,0.97600001,37.887188
Smarties candy,0,1,0,0,0,1,0,0.26699999,0.116,45.995827
Snickers,1,0,1,1,0,0,1,0.546,0.65100002,76.673782
Snickers Crisper,1,0,1,1,1,0,1,0.60399997,0.65100002,59.529251
Sour Patch Kids,0,1,0,0,0,0,0,0.068999998,0.116,59.863998
Sour Patch Tricksters,0,1,0,0,0,0,0,0.068999998,0.116,52.825947
Starburst,0,1,0,0,0,0,0,0.15099999,0.22,67.037628
Swedish Fish,0,1,0,0,0,0,0,0.60399997,0.755,54.861111
Tootsie Pop,1,1,0,0,0,1,0,0.60399997,0.32499999,48.982651
Tootsie Roll Juniors,1,0,0,0,0,0,0,0.31299999,0.51099998,43.068897
Tootsie Roll Midgees,1,0,0,0,0,0,0,0.17399999,0.011,45.736748
Tootsie Roll Snack Bars,1,0,0,0,0,0,1,0.465,0.32499999,49.653503
Twix,1,0,1,0,1,0,1,0.546,0.90600002,81.642914
Twizzlers,0,1,0,0,0,0,0,0.22,0.116,45.466282
Welch's Fruit Snacks,0,1,0,0,0,0,0,0.31299999,0.31299999,44.375519
Whoppers,1,0,0,0,1,0,0,0.87199998,0.84799999,49.524113